Company,Industry,City,Investors,Round,Amount,Year,State,Employee Size,Funded_Year,Amount_in_crores
BookEventz,Consumer Internet,Mumbai,Zishaan Hayath,Seed Funding,0.75,2015,Maharashtra,51-100,2015,"₹ 75,00,000.00"
LoanCircle,FinTech,Bengaluru,Zishaan Hayath,Seed Funding,0.75,2015,Karnataka,11-50,2015,"₹ 75,00,000.00"
Black White Orange Brands,E-Commerce,Mumbai,Youwecan Ventures,Seed Funding,0.75,2015,Maharashtra,11-50,2015,"₹ 75,00,000.00"
GolfLAN,Sports,New Delhi,Yournest Angel Fund,Seed Funding,0.75,2015,Delhi,51-100,2015,"₹ 75,00,000.00"
Blue Box Media,Consumer Internet,Jaipur,Yogesh Chaudhary,Seed Funding,0.75,2016,Rajasthan,101-250,2016,"₹ 75,00,000.00"
121Policy,Consumer Internet,Kolkata,Xelpmoc,Seed Funding,0.75,2016,West Bengal,101-250,2016,"₹ 75,00,000.00"
Aisle,Consumer Internet,Bengaluru,White Unicorn Ventures,Seed Funding,0.75,2017,Karnataka,101-250,2017,"₹ 75,00,000.00"
iDreamCareer,EdTech,New Delhi,Vivek Joshi,Seed Funding,0.75,2015,Delhi,51-100,2015,"₹ 75,00,000.00"
Vow Car Clinic,Consumer Internet,Gurugram,Vishal Malik,Seed Funding,0.75,2017,Haryana,11-50,2017,"₹ 75,00,000.00"
Actionable Analytics,Data Analytics,New Delhi,Vinod Singhal,Seed Funding,0.75,2015,Delhi,11-50,2015,"₹ 75,00,000.00"
LiveNutriFit,Healthcare,New Delhi,Vinod Jain,Seed Funding,0.75,2016,Delhi,11-50,2016,"₹ 75,00,000.00"
Amigobulls,Finance,Bengaluru,Vijay Anand,Seed Funding,0.75,2015,Karnataka,11-50,2015,"₹ 75,00,000.00"
Innovaccer,Technology,Noida,Venkatesh Valluri,Seed Funding,0.75,2015,Uttar Pradesh,1001-5000,2015,"₹ 75,00,000.00"
AlmaConnect,Consumer Internet,New Delhi,Varun Aggarwal,Seed Funding,0.75,2016,Delhi,11-50,2016,"₹ 75,00,000.00"
YourStory,Media,Bengaluru,Vani Kola,Seed Funding,0.75,2015,Karnataka,101-250,2015,"₹ 75,00,000.00"
&ME,Food,Bengaluru,Undisclosed Investments,Seed Funding,0.75,2021,Karnataka,11-50,2021,"₹ 75,00,000.00"
&ME,Food,Bengaluru,Undisclosed Investments,Seed Funding,0.75,2018,Karnataka,11-50,2018,"₹ 75,00,000.00"
Aarav Unmanned Systems,Delivery,Bengaluru,Undisclosed Investments,Seed Funding,0.75,2018,Karnataka,251-500,2018,"₹ 75,00,000.00"
Aarav Unmanned Systems,Delivery,Bengaluru,Undisclosed Investments,Seed Funding,0.75,2021,Karnataka,251-500,2021,"₹ 75,00,000.00"
Adiuvo Diagnostics,Healthcare,Chennai,Undisclosed Investments,Seed Funding,0.75,2021,Tamil Nadu,11-50,2021,"₹ 75,00,000.00"
Adiuvo Diagnostics,Healthcare,Chennai,Undisclosed Investments,Seed Funding,0.75,2018,Tamil Nadu,11-50,2018,"₹ 75,00,000.00"
Aldopay,FinTech,Chennai,Undisclosed Investments,Seed Funding,0.75,2018,Tamil Nadu,251-500,2018,"₹ 75,00,000.00"
Asteria Aerospace,Aerospace,Bengaluru,Undisclosed Investments,Seed Funding,0.75,2018,Karnataka,51-100,2018,"₹ 75,00,000.00"
